Hotel ID,Hotel name,Hotel URL,Stars (class),"x,y coordinates",pros,cons,author ID,creation_date
1138166,Platinum Seventy,https://www.booking.com/hotel/sa/bltynywm-swyt.html,0.0,39.2045268416405,21.5530234797508,Friendly staff and Specially Ms. Wajdan  at reception she was really nice and helpful.,,140661784,2021-11-14 23:53:15
1138166,Platinum Seventy,https://www.booking.com/hotel/sa/bltynywm-swyt.html,0.0,39.2045268416405,21.5530234797508,Clean and bedroom was big and nice,Shower very small and tight and smells come from AC,18035192,2021-10-29 16:48:41
1138166,Platinum Seventy,https://www.booking.com/hotel/sa/bltynywm-swyt.html,0.0,39.2045268416405,21.5530234797508,Location,-,522058374,2021-10-26 07:08:40
1138166,Platinum Seventy,https://www.booking.com/hotel/sa/bltynywm-swyt.html,0.0,39.2045268416405,21.5530234797508,Almost everything,The shower,240211283,2021-10-14 21:07:36
6152089,Staytion First - Al Zahra,https://www.booking.com/hotel/sa/staytion-first-al-zahra.html,0.0,39.132981,21.584574,I liked the flexibility. very charming front desk crew.,nothing I know.,0,2022-05-01 09:30:47
6152089,Staytion First - Al Zahra,https://www.booking.com/hotel/sa/staytion-first-al-zahra.html,0.0,39.132981,21.584574,Excellent location with shops and restaurants near the property.,,557732194,2022-04-04 16:25:14
6152089,Staytion First - Al Zahra,https://www.booking.com/hotel/sa/staytion-first-al-zahra.html,0.0,39.132981,21.584574,location and it was clean,nothing,563524202,2022-03-28 20:01:35
6152089,Staytion First - Al Zahra,https://www.booking.com/hotel/sa/staytion-first-al-zahra.html,0.0,39.132981,21.584574,I like the place too much,High price sometimes,523541231,2022-03-26 15:49:23
6152089,Staytion First - Al Zahra,https://www.booking.com/hotel/sa/staytion-first-al-zahra.html,0.0,39.132981,21.584574,"The room, kindness of the staff, parking, location",No enough towels,560638915,2022-03-20 19:24:03
6152089,Staytion First - Al Zahra,https://www.booking.com/hotel/sa/staytion-first-al-zahra.html,0.0,39.132981,21.584574,"cleanliness
location
price
room size",,26522047,2022-02-08 19:55:04
6152089,Staytion First - Al Zahra,https://www.booking.com/hotel/sa/staytion-first-al-zahra.html,0.0,39.132981,21.584574,"Location was convenient, room was big, and staff were nice. It was very quiet and looked just as it looks on the pictures on the website.",,109357045,2021-09-22 08:10:30
6152089,Staytion First - Al Zahra,https://www.booking.com/hotel/sa/staytion-first-al-zahra.html,0.0,39.132981,21.584574,"Cost effective choice. This time I tried the breakfast, it is perfect. It cost around 15 SAR but contains two main dishes and many other appetizers. 
The design of the studio rooms is beautiful. The room is clean and smells very good. The staff are polite, and cooperative. I would like to thank Nuha in the reception for her usual support and cooperation. 

I highly recommend Staytion First for a Business trip or any trip to Jeddah.",,460597226,2021-09-16 15:05:39
6152089,Staytion First - Al Zahra,https://www.booking.com/hotel/sa/staytion-first-al-zahra.html,0.0,39.132981,21.584574,Nice staff and friendly,Cleanness and location,5920909,2021-08-12 08:45:44
6152089,Staytion First - Al Zahra,https://www.booking.com/hotel/sa/staytion-first-al-zahra.html,0.0,39.132981,21.584574,"the location is great, the cleanness of the furniture and rooms","the waiting time at the reception was so long
breakfast was not up to standard you chose something and they send something else even after talking to them to replace it they send the same thing.  I wan not satisfied.",476892615,2021-08-01 09:37:59
6152089,Staytion First - Al Zahra,https://www.booking.com/hotel/sa/staytion-first-al-zahra.html,0.0,39.132981,21.584574,"Nice hotel in a very good location. Just a short 5 minute or less walk from Souq Shatea and a lot of great restaurants and cafes. The hotel is well kept, clean and the rooms are spacious. Staff was friendly and kind and always available. The bed was very comfortable and the linen is great. Great hotel for a short stay and for a centrally located property.",The window overlooked the main street but was a small window so the room was a bit dark. Also they only provided a limited number of towels - would have been nicer if they provided more rather than to keep requesting from the reception.,3813543,2021-07-28 11:41:12
6152089,Staytion First - Al Zahra,https://www.booking.com/hotel/sa/staytion-first-al-zahra.html,0.0,39.132981,21.584574,"Enjoyed staying in the hotel, staff are very friendly and helpful.
Very clean .
Breakfast is very good.
I highly recommend it to anyone visiting Jeddah.",N/A,499210231,2021-07-16 13:06:45
